27___3	6614,6731;
27___4	6484,6777;
27___5	6530,6915;
27___6	6489,6820;
27___7	6590,6792;
27___8	6641,6785;
27___9	6557,6768;
27___10	6456,6790;
27___11	6579,6675;
27___12	6473,6734;
27___13	6490,6750;
27___14	6559,6888;
27___15	6568,6766;
27___16	6452,6947;
28___1	6825,6991;
28___2	6900,7041;
28___3	6812,7043;
28___4	6900,7117;
28___5	6857,7105;
28___6	6773,6974;
28___7	6783,7084;
28___8	6919,7181;
28___9	6894,7155;
28___10	6799,7001;
28___11	6842,6981;
28___12	6802,6974;
28___13	6802,7180;
28___14	6873,7179;
28___15	6833,7149;
28___16	6808,7006;
29___1	6546,6816;
29___2	6689,6731;
29___3	6641,6828;
29___4	6586,6773;
29___5	6637,6762;
29___6	6665,6774;
29___7	6635,6696;
29___8	6720,6868;
29___9	6598,6817;
29___10	6654,6768;
29___11	6644,6768;
29___12	6573,6805;
29___13	6595,6786;
29___14	6509,6791;
29___15	6546,6818;
29___16	6525,6780;
30___1	6762,6889;
30___2	6755,6931;
30___3	6736,6840;
30___4	6718,6921;
30___5	6775,6963;
30___6	6760,6875;
30___7	6755,6931;
30___8	6777,6953;
30___9	6765,6880;
30___10	6719,6860;
30___11	6750,6883;
30___12	6737,6851;
30___13	6716,6856;
30___14	6686,6906;
30___15	6731,6994;
30___16	6716,6829;
